index,segment,answerDate,NPS,impactInteraction,reason,improvement
32,Segmento 1,MES 3,1,1,"Ustedes, son abusivos, le cambian la condiciones del contrato al cliente, eso tipifica abuso de poder y constituye actuación reprochable a al tenor de Código de Comercio y las disipaciones de la superintendencia Bancaria","Ser respetuosos de la legislación que gobierna el servicio bancario y no abrogarse poderes exorbitantes que ninguna norma le ha otorgado...Abusivos mediocres...el Banco no es de Ustedes, ubíquense en la posición que les corresponde lambones, serviles.."
33,Segmento 2,MES 1,1,1,"Mucho tiempo para solicitar certificado hipotecario (20) dias. Nunca llego al correo
Luego ir a hacer dos horas de fila para que le digan que hubo una falla el correo llego pero no se puede bajar el documento",Mejorar el servicio
34,Segmento 1,MES 2,0,2,Veinte minutos esperando con el banco sin filas y no se habían dado cuenta de que había turnos de asesoría.,"Mejorar la usabilidad de la banca virtual, no se ve fácilmente el número de cuotas de las compras con TC. Hacer llegar las comunicaciones de respuesta a casos abiertos, redactarlas con profesionalismo. No cambiar las condiciones de número de transacciones para no pagar cuota de manejo."
35,Segmento 1,MES 3,5,1,"Había poca afluencia de clientes y los cajeros estaban hablando entre sí, solo 1 de 3 estaba atendiendo al público.","Si tienen cajeros haciendo otro tipo de actividades (social/pausas activas  u operativas)y no pueden atender a los clientes de la oficina deberían no ser visibles para el público que espera, esto fomenta la molestia en los clientes que esperan"
36,Segmento 1,MES 1,6,5,"Buena atención, y cordialidad de parte de la asesora","Todo está muy bien, no creo que deban mejorar"
37,Segmento 1,MES 2,1,2,"Porque estoy pensando retirarme, porque la única oficina qué tenemos en el barrio 20 de julio la suspenden a partir del 1 de noviembre, y ya nos quedaríamos sin colpatria en el barrio",En vez de retirar esa oficina deveran colocar otra en el barrio
38,Segmento 1,MES 3,0,1,No hay soluciones en la.oficina no tienen capacidad de resolver nos ponen a marcar a una linea de telefono toca entregar la tarjeta de credito por un cupo de 600000 estoy pagando un manejo del 5 por ciento mensual es un verdadero abuso,A mi nada por q no quiero ser mas cliente de uds gracias
39,Segmento 2,MES 1,6,3,Normalmente no me siento satisfecha con el banco,"La atención fue buena, no son las personas quienes me incomodan"
40,Segmento 1,MES 2,0,3,Nunca funciona la plataforma para la realización de pagos,Invertir recursos en la mejora de la plataforma para hacer todo de manera virtual
41,Segmento 1,MES 3,0,1,no hay solución rápida,soluciones radicales y las líneas de atención siempre estén en funcionamiento
42,Segmento 1,MES 1,5,4,Los intereses son muy altos,Hise una reclamación y no e octenido respuesta
43,Segmento 1,MES 2,0,1,No tuve solución  ami solicitud,Analizar  bien el perfil  de los clientes
44,Segmento 2,MES 3,1,2,"Demora en la atención, solo fui a hacer un abono a mis créditos y me tomo una hora hacerlo",Yo preferiria poder hacer mis diligencias de forma virtual
45,Segmento 1,MES 1,3,3,No  uvo. Solocion de nada,Que aya preferencia para los discapacitados
46,Segmento 2,MES 2,3,3,Hago abonos a capital para bajar el valor de la cuota y no bajan la cuota hasta que llamo a hacer el reclamo.,
47,Segmento 1,MES 3,1,2,"Creo que la máquina que cuenta los billetes en caja 3 presenta falla. Antes de ir hacer el pago en la sucursal, conté muy bien la plata en mi casa, llevaba 6 millones en billetes de 100 mil pesos para hacer el pago de la tarjeta crédito, no estoy completamente seguro, pero puede que les sobraron 100 mil pesos al finalizar el turno.","Verificar la novedad, no es una afirmación pero si tengo esa duda al momento del pago."
48,Segmento 1,MES 1,4,5,Es un banco muy bueno yo es porque ya tengo mis años no quiero endeudarme mas,Ya an echo mucho por mi
49,Segmento 1,MES 2,0,1,Porque no resolvieron la inquietud que tengo,"Si uno tiene un crédito con ustedes ,son ustedes los que le deben dar solución a sus inquietudes."
50,Segmento 1,MES 3,0,4,La atención fue buena,
51,Segmento 1,MES 1,2,1,Porque me dieron un valor a pagar que no era y después me llaman del banco y me dicen que tengo días de mora por la mala información que me dieron en el banco al momento de pagar,"Tener una mejor información de lo que debe uno pagar en todas la plataformas (app, banco, línea telefónica etc)"
52,Segmento 2,MES 2,5,2,No me resolvieron el motivo de mi visita  ala oficina. me dirigen a la multilinea y es imposible la comunicacion,Más facilidad y agilidad ala hora de realizar algún tramite sea oficina o virtual
53,Segmento 1,MES 3,2,2,porque me quitaron mis extractos fisicos impresos.  Me han hecho perder mucho tiempo. No me responden radicados,"no engañarme con los extractos.  Este año ha sido pesimo con ese tema, me engañan diciendome que si me van a llegar,  6 o mas meses atras llegaba uno y no el otro, o lo contrario hasta que hace 6 meses ya no llega ninguno. Voy a Cancelar todos los seguros que tome a traves de ustedes y posiblemente mis 2 tarjetas tambien"
54,Segmento 1,MES 1,3,1,"Aseguran que compré un seguro de fraude, que yo no compré. Me mostraron el mensaje ofreciendomelo,  pero no mi respuesta. Así que me lo adjudicaron sin mi aceptación.","Anular la compra del seguro, que no acepté."
55,Segmento 1,MES 2,5,4,"Me habia retirado...retome nuevamente la TC con ustedes y el cupo de hoy ganando mas no es ni la mitad de lo que tenia...voy a darme un tiempo a ver si lo aumentan, o cancelo",Cupo y cuota de manejo
56,Segmento 1,MES 3,3,2,PORQUE NO ME SOLUCIONARON LO QUE PRETENDIA Y EN OTRA ENTIDAD FUE COMO EN JET,YA NO LA PRIMERA IMPRESION DEJA MUCHO QUE DESEAR
57,Segmento 1,MES 1,0,1,La comunicación con el banco es super mala,Mejorar la atención al cliente
58,Segmento 1,MES 2,0,1,Mucha espera muy mal servicio,Ser más ágiles y eficientes
59,Segmento 1,MES 3,2,3,"Porque igual uno se aguanta las. Filas y la atención del asesor del crédito pésimo
Muy mala asesoría
No dice las cosas y se lleva uno sorpresas 😏",Aumentar asesores y personas q sean transparentes
60,Segmento 1,MES 1,0,1,"Primero pantalla de turnos mala; los dichos en mesa del lado pero no hay un aviso de la ubicación de estos.
Me dejaron 20
Minutos esperando",Mejor información
61,Segmento 1,MES 2,6,5,"Exelente atención por parte de las asesoras, rápida atención y amabilidad",Me parece bien su atención
62,Segmento 1,MES 3,3,2,Más atención al cliente,Tener más redes de cajeros para el retiro del dinero o redes aval
63,Segmento 1,MES 1,5,3,Hay mucha gente en asesoria,Mejorar la atencion
64,Segmento 1,MES 2,5,3,El proceso de atención es demasiado lento.,"Si el flujo de clientes en la sede es tan constante, se recomendaria que al menos 2 o 3 asesores esten disponibles para la atención de los usuarios. En mi caso solo estaba disponible un asesor y tuve que esperar 1 hora para ser atendida"
65,Segmento 1,MES 3,2,4,"A sido imposible comunicarme con un asesor,  tengo el inconveniente de que no volvió a llegar el extracto y quiero saber como puedo cancelar mi tarjeta terminada en 9408","Que sea fácil resolver inquietudes en cualquier oficina,  la respuesta de los asesores de estas oficina es que todo por la. Aplicación; y no soy la más experta"
66,Segmento 1,MES 1,3,3,Solo fuy apagar la tarjeta de credito y no porq siempre es difícil hablar con los asesores y el banco pone mucho problema para un crédito,Mejorar y no exigir de maxiado para los créditos
67,Segmento 1,MES 2,0,1,"Por favor revisen esta cuenta porque yo soy de Argentina y están usando mi correo electrónico para llenarme de Spam 😡 nose como puedo solucionar este problema, en ningún momento me hice una cuenta en esto que nose que sea pero siempre me llegan mails de extracciones y movimientos en mi ""supuesta cuenta"".... nose donde puedo reclamar o denunciar este asunto, por favor revisen esto porque me quiero desuscribir y no me lo permiten..dejen de enviarme mails y eliminen mi cuenta de correo electrónico.","Dejen de enviarme spam a mi correo electrónico, soy de Argentina y en ningún momento me suscribí a nada, están usando mi nombre y mi correo para nose que sea...."
68,Segmento 1,MES 3,2,1,me demore una y media para que me atendieran,mejorar el tiempo de respuesta
69,Segmento 1,MES 1,5,2,Porque no me  llegan mis estractos y no sé cuánto debo pagar,Por favor seguir enviando los estractos a mi correo personal como d costumbre
70,Segmento 2,MES 2,0,3,"Pésimo banco, las respuestas dadas por sus funcionarios no resuelven las inconformidades de los clientes.",
71,Segmento 1,MES 3,1,3,la atención fue muy regular.. me decian que le preguntara el jede de la sucursal.. por atender a otra persona amigo del señor q llego en ese momento,tener atencion telefonica que uno llama y no hay menu de atencion con asesor
72,Segmento 1,MES 1,0,3,No mde dieron solución ni repuesta ah lo que necesitaba,Que den una respuesta coherente ah mi servicio que nececito
73,Segmento 1,MES 2,4,2,"No existe la discreción: una señora fue a sacar plata y, de viva voz dijo que necesitaba $3 millones en efectivo y $ 9 en cheque. Todos los que estábamos allí, nos enteramos.Eso pone en riesgo a los usuarios. Son muy lentos y puede mejorar la experiencia del cliente o usuario","Mejor entrenamiento a los cajeros en atención al publico. 
Trabajo en equipo (mucho chisme entre ellos)
Talonarios o sistema donde una pueda registrar la operación y cuantía que necesitaba
Uniformes a los colaboradores"
74,Segmento 1,MES 3,0,3,Es un banco donde nadie da información concreta y clara y ponen muchas trabas para cerrar una cuenta.,
75,Segmento 2,MES 1,6,3,Es un banco muy costoso,
76,Segmento 1,MES 2,6,3,El servicio en ocasiones es bueno y otras poco,Tener más cajeros de acuerdo a la cantidad de gente q este llegando
77,Segmento 1,MES 3,4,4,El señor que  llama cesar atendía a la gente sin respetar el turno...,Que se respeten los turnos me parece que si uno saca un turno tiene que esperar su turno y el señor César atendió a otra persona sin turno y lo saludó
78,Segmento 1,MES 1,0,1,"La oficina muy desordenada, se estaba haciendo fila y un funcionario daño la fila, mucha demora para atender pocos empleados. No atendieron todos mis requerimientos.",Poner más empleados en las oficinas y capacitarlos para que puedan resolver las inquietudes.
79,Segmento 1,MES 2,5,3,Por la demora,Ser un poco más eficientes
80,Segmento 2,MES 3,0,1,Estoy retirándome de Colpatria. No me han respondido por dos pagos que suman $2.930.000,nada gracias
81,Segmento 1,MES 1,0,1,"Mala atención. No resolución del problema, esta frente al funcionario y tienes que hacer el trámite telefónico o virtual",Acompañamiento. Responder las solicitudes. Equipo que maneje integralmente las solicitudes
82,Segmento 1,MES 2,5,2,Mucha demora en la atención.,Más agilidad de los asesores
83,Segmento 2,MES 3,5,3,No saben lo que es servicio al cliente. Son personas prepotentes y el cliente no les interesa,"Capacitar la gente , que entiendan que el cliente es importante y bajen un poco esa prepotencia de creerse lo máximo y el cliente es un pobre aparecido"
84,Segmento 1,MES 1,0,1,,
85,Segmento 1,MES 2,3,3,"Me parece muy delicados que los abonos por pse no se reflejen el mismo día , he incluso que no se abonen a la tarjeta y que haya que esperar 20 días para solucionar","El sistema de pago es línea no es confiable, eso se debe mejorar"
