index,segment,answerDate,NPS,impactInteraction,reason,improvement
138,Segmento 1,MES 1,0,1,"La atención es casi como el banco bbva...la diferencia es el color ...acá prevalece el rojo, allá el azul.","Primordial, tener respuestas efectivas y que solución en el problema , no creas más problema"
139,Segmento 2,MES 2,5,3,Los pagos son se hacen efectivos al instante.,Mejor comunicación
140,Segmento 2,MES 3,5,3,El banco no es ni parecido a lo que fue Citibank,
141,Segmento 1,MES 1,1,1,Me di cuenta que el banco está cobrando intereses a las compras que se realizan a 1 sola cuota cuando se tiene al menos 1 sola compra diferida. Realmente esto no me gustó y prefiero cambiar de banco,"Continuar con la política donde las compras a 1 sola cuota no generen interés sin importar que se tengan compras diferidas. Esto no es servicio al cliente, por el contrario es un abuso del banco"
142,Segmento 2,MES 2,1,1,Mala atención aún estoy esperando la llamada q me dijeron q me darían,Ser un poco más proactivos y empaticos
143,Segmento 1,MES 3,0,1,"No obtuve una respuesta al problema que llevaba, y no me dieron una segunda opcion",Nada porque segun la persona que me atendio es imposible
144,Segmento 2,MES 1,0,1,"La amabilidad del personal es bueno , pero las posibilidades de ayuda son nada , no tienen poder de solucionar y lo envían a realizar llamadas telefónicas que también son un parto de mula para dar con la persona indicada , se requiere de mucha pérdida de tiempo y en su gran mayoría no solucionan",Que las asesoras tengan más poder de solucionar y estén más empapadas de conocer las soluciones que el cliente necesita
145,Segmento 1,MES 2,5,2,Muchas fila,Mejorar el servicio en caja
146,Segmento 1,MES 3,0,1,"De manera irregular, insuficiente, general y abstracta ofrecen tarjeta de crédito por línea telefónica, vulnerando la ley de habeas data del consumidor financiero; realizan cobro por concepto de cuota de manejo de tarjeta que no han sido activada, después de haber inducido en error de apreciación al consumidor, quien además debe de realizar transacciones mínimas de uso mensual, y no proceden con la cancelación en la oficinas de dicho producto, por cuanto se ofreció y aceptó a través de una canal digital. Por tal razón formularé PQRS al Defensor del Consumidor Financiero, la Superintendencia Financiera de Colombia y los organismos de vigilancia y control.","Abstenerse de utilizar las bases de datos en donde aparezca mi información de contacto, para ofrecer productos de la entidad bancaria. Lo anterior por cuanto se está vulnerando la Ley de Habeas Data del consumidor financiero."
147,Segmento 1,MES 1,2,1,Mas de media hora esperando a ser atendidos habían 2 cajeras que no atendían,Mas ajilidad en la atención
148,Segmento 1,MES 2,2,1,Buenas noches realmente tenia otro concepto del banco pero al vivirla propiamente me di cuenta q la mayoria del perdonal no le importa el cliente todos los asesores hablando por telefono hablando de sus asuntos y nosotros esperando yo estuve ahi desde las 8 y media hasta 9 y media pasadas demasiado perdeders tiempo gracias,Dedicarle tiempo al clientes y a sus necesidades buena noche
149,Segmento 1,MES 3,5,3,Porque en lo que conozco nadie quiere saber de bancos.,Así es tubo bien gracias
150,Segmento 1,MES 1,0,2,Los productos,Mejor portafolio y asesoria
151,Segmento 1,MES 2,1,1,"Porque no ingresan los pagos,yo por ejemplo realise mis pagos ,junto con la tarjeta de mi señora madre el día de ayer 9:45am y hoy 13 de diciembre 10:45pm.
Aún no ingresan los pagos y me envían notas diciendo pago no exitoso.
Triste muy triste","Primero ingresar los pagos el día que se realice,.
Segundo corregir la información enviando un mensaje diciendo que ya ingreso el pago 
Y tercero no enviar mensajes de texto tarde de la noche ,peor aún a la madrugada"
152,Segmento 2,MES 3,4,1,"* es increible lo demorado y complicado que es hacer un retiro por afc sin beneficio, no se compara con la competencia, que proceso mas anticuado. 
* hacen actualizaciones sobre la app y me bloquearon pago por pse y me toco reinstalar la app","debido a eso me toco ir hasta la sucursal y nadie supo por que no me permitia pagar por pse no hay informacion no hay solucion  
mejorar los procesos aprovechando la tecnologia que existe hoy en dia"
153,Segmento 1,MES 1,5,4,"La señorita que me atendió en caja fue muy amable al solucionar mi solicitud, pero el valor de retiro por día en los cajeros debería ser de un monto mayor, donde ella no me colabore me hubiera afectado.",La atención es buena ya es un tema de politiccas
154,Segmento 1,MES 2,4,3,demasiada fila y pocas cajas atendiendo.,Han quitado 2 oficinas en Ciudad Salitre y la unica que dejaron la atención es muy regular. Las cajas solo atienden 2.
155,Segmento 1,MES 3,2,3,El valor de la cuota de manejo de la tarjeta muy alta sin utilizarla. Cuando necesite la ayuda no me ayudaron,El personal sea atento. La cuota de manejo se cobre cuando se utilize
156,Segmento 1,MES 1,5,3,"No he podido comunicarme vía telefónica, me hacen tantas preguntas y al final dicen que no he pasado la prueba",Tener un asesor. Vía telefónica que nos pueda ayudar con nuestras inquietudes
157,Segmento 1,MES 2,1,4,Tasa de interés muy alta...,Bajar la tasa de interes
158,Segmento 2,MES 3,0,1,No solucionan nada,Cambiar el sistema operativo
159,Segmento 2,MES 1,0,1,Tiempo de espera muy largo solo 2 cajeros y la oficina llena,Más cajeros para mejorar tiempos
160,Segmento 1,MES 2,3,1,"Estoy inconforme por una información el cual no fue clara, el cual afecto mi economía, al ir averiguar a la oficina el asesor amablemente me explico, sin embargo vía telefónica no se me brindo la información pertinente, por lo tanto di a conocer mi inconformidad vía telefónica esperando tener una respuesta favorable.","Darle viabilidad a mi solicitud vía telefónica, actualmente tengo un radicado de la solicitud."
161,Segmento 2,MES 3,0,1,Me siento engañado,"Nada, ya tengo otros bancos qué son muy claros con las condiciones en sus productos"
162,Segmento 3,MES 1,0,1,No hay atención al cliente. Tuve que hablar con cinco personas hasta llegar con “la persona asignada a mi cuenta”. Soy cliente desde hace 15 años…..,Te re mas orientación al cliente y rapidez de respuesta de sus empleados
163,Segmento 1,MES 2,1,1,"Las consultas con los asesores comerciales es un martirio. Tenía que esperar 50 turnos para solo actualizar los datos lo cual solo llevo 5 minutos..los turnos no están segmentados..únicamente tienen una línea de atención de turno, en otras oficinas hay hasta 3 variedades de turnos y así van atendiendo los requerimientos de todos... los ejecutivos o coordinadores muy mala atención..",Segmentación del digiturno
164,Segmento 1,MES 3,4,3,"Sigo considerando que la entidad no le da el trato que el usuario merece.  No ofrece un portafolio para tener en cuenta al cliente.  Llevo 5 años con una cuenta de ahorros y nunca se me ofreció ni siquiera una tarjeta de crédito.  Y cuando la solicite me la negaron.  No obstante lo anterior vincular a mi señora con una cuenta de ahorros, pero a decir verdad, colpatria no me presta servicios que me permite recomendarlo.","Considerar que el cliente, con su experiencia, debe gozar de los privilegios que colpatria le puede y tenga para brindar.  Permitirle acceder al portafolio que colpatria tiene en el mercado sin dilaciones."
165,Segmento 1,MES 1,6,4,Por eficiencia,Que haya más asesores
166,Segmento 2,MES 2,4,4,Atención rápida,No cobrar la cuota de manejo de la tarjeta de crédito si no la usa el cliente
167,Segmento 1,MES 3,5,3,Lejos de donde vivo pocas oficinas y nada de cajeros,Eso es a su criterio
168,Segmento 1,MES 1,2,5,S,
169,Segmento 1,MES 2,2,4,Porque el sistema eléctronico es muy malo,Mejorar sus procesos en línea y en el app
170,Segmento 2,MES 3,5,3,Todo igual,Bajar tasas interes
171,Segmento 1,MES 1,0,1,"Me toca invertir en transporte y demasiado tiempo para ir de manera presencial porque los teléfonos de línea de atención no funcionan y al ir presencial NO ME AYUDA EN ABSOLUTAMENTE NADA, NO ME SOLUCIONÓ MI PROBLEMA Y MI CUENTA SIGUE BLOQUEADA",Solucionar mi problema
172,Segmento 1,MES 2,3,3,"Ir a pagar 220 pesos, no da ganas de recomendación, cuando si colocan el valor total en la última factura, se ahorraría uno esos desplazamientos. Imagínese recomendarlos, si no liquidaron todo en la última factura. Gracias","Las personas de atención son muy humanas, respetuosas. Ahí el proceso es interno, en serio ir a pagar 220 pesos... Y pagué 250 y no hubo devolución de los 30 pesos, hay si el ciudadano no les hace recibo por 30 pesos."
173,Segmento 2,MES 3,0,1,3 horas para cancelar un CDT indica pésima atención.,
174,Segmento 1,MES 1,2,1,Demasiada demora en la atención.,Organizar mejor al personal para atención
175,Segmento 2,MES 2,6,2,Por la espera en el servicio,Pues mejorar los procedimientos
176,Segmento 1,MES 3,0,1,El servicio recibido no fue el mejor y no se resolvieron mi solicitud,Mejorar el personal capacitado para ayudar a las personas que no manejan con facilidad las app
177,Segmento 1,MES 1,2,1,Buena noche mi experiencia fue mala habían dos asesores de servicios los cuales estaban ocupados con unos ancianos y estube media hora y no fui atendido,Espero que la próxima sea mejor
178,Segmento 1,MES 2,5,2,Porque yo no pude ir personalmente y le pedí el favor a mi esposo con mi cédula y toda mi información solo necesitaba que le dieran un número telefónico donde me pudiera comunicar directamente con un asesor y le dijeron que no le podían dar esa información,Dejarme por aquí un número donde sí me respondan y me den información acerca del seguro de vida que yo adquirí con ustedes
179,Segmento 2,MES 3,8,5,Buena atención,Muy poco
180,Segmento 1,MES 1,8,5,Muy buena atención,Atención telefónica personalizada.
181,Segmento 1,MES 2,8,5,Buena atención,Esta bien
182,Segmento 1,MES 3,8,3,Atención,Turnos prioritarios atender más pronto
183,Segmento 1,MES 1,8,5,Muy buena atención,La atención excelente
184,Segmento 1,MES 2,8,3,Todo normal,Asi estuvo bien
185,Segmento 1,MES 3,8,3,Buena atencion,Darme buenos descuentos en la utilizacion de tarjeta de credito.
186,Segmento 1,MES 1,8,5,Excelente atención,
187,Segmento 2,MES 2,8,5,Buena atención,Tener más conocimiento de los servicios
188,Segmento 2,MES 3,7,3,sin comentarios,Asi está bien
189,Segmento 1,MES 1,8,4,Mucha demora,Más rápido
190,Segmento 1,MES 2,8,4,Servicio rapido,Darle prioridad a la tercera edad
191,Segmento 1,MES 3,8,5,Excelente servicio,Que haya sucursal en el Municipio de Bello del departamento de Antioquia.
192,Segmento 3,MES 1,8,5,Buena atencion,Esta bien
193,Segmento 2,MES 2,8,4,Atención,Mas cajeros multibanca y horario los sábados
194,Segmento 1,MES 3,7,4,Buen servicio,Por el momento está bien
195,Segmento 1,MES 1,8,3,Muy demorada la atención,"Los asesores se demoran mucho hay veces con un cliente, no se una forma de agilizar"
196,Segmento 1,MES 2,8,3,Demora en la atención,Más personal en la atención
197,Segmento 2,MES 3,7,3,Lo mismo de siempre,Nada
198,Segmento 2,MES 1,8,3,SIGUE IGUAL,MAS AGILIDAD EN LAS OFICINAS
199,Segmento 1,MES 2,8,5,Excelente servicio,No hacer esperar a los clientes para atención con asesores
200,Segmento 1,MES 3,8,3,Todo igual,Esta bien
201,Segmento 1,MES 1,8,4,buena atencion,no tanto cobranzas
202,Segmento 1,MES 2,8,1,Mala atención.,El personal no es amable ni claro en los procedimientos
203,Segmento 2,MES 3,8,3,Mucha demora en la atención.,Atender más rápido. Y seguramente que Uds tendrán en estudio otras estrategias.
204,Segmento 1,MES 1,8,3,IGUAL,Agilidad en las  y en asesoria sobre todo
205,Segmento 3,MES 2,8,5,muy buena atencion,todo muy bien
206,Segmento 1,MES 3,8,3,igual,seguir atendiendo con amabilidad
207,Segmento 1,MES 1,7,3,Por la demora en la atención,Contratar más asesores
208,Segmento 1,MES 2,8,4,Porque si,La atención es buena
209,Segmento 2,MES 3,8,4,Buen servicio,
210,Segmento 1,MES 1,8,4,Rapidez en la atención,Por ahora no veo otra alternativa. Gracias
211,Segmento 1,MES 2,8,2,Muy demorado el servicio,"Que atiendan todos los Cajeros, solo estaban atendiendo dos Cajero y había mucha gente"
212,Segmento 1,MES 3,8,4,,
213,Segmento 1,MES 1,8,3,Demora en la atención,Trabajar para tener soluciones y no tanta demora en las oficinas
214,Segmento 1,MES 2,8,5,Buena atención,"Tener una caja especial
Para las personas de la tercera edad"
215,Segmento 1,MES 3,7,3,Excelente servicio,Vuelvan abrir un sucursal de oficina en soacha
216,Segmento 1,MES 1,8,3,Todo bien,Disminuir la tasa de interés
217,Segmento 1,MES 2,7,5,Servicio,
218,Segmento 1,MES 3,8,4,Muy demorado la atención,Amabilidad
219,Segmento 2,MES 1,8,4,Buen servicio,Más rapidez
220,Segmento 2,MES 2,8,4,Atención rápida,Un cajero de depósitos en dosquebradas risaralda
221,Segmento 2,MES 3,8,5,Por la atención,Todo bien
222,Segmento 2,MES 1,8,3,Intereses muy caros,Tasas más accesibles
223,Segmento 2,MES 2,8,3,Buen servicio,Continuar con el buen servicio
224,Segmento 1,MES 3,8,5,Excelente atención,Mejorar tiempos de respuesta
225,Segmento 1,MES 1,8,5,Buena atencion,Todo está bien
226,Segmento 1,MES 2,7,1,Demora en atención,Tener más asesores disponibles para los clientes y así mismo agilizar los procesos tanto en caja como en oficina
227,Segmento 1,MES 3,8,5,Me atendieron bien,Q la atención sea más rapida
228,Segmento 1,MES 1,8,4,Buena Atencion,Mas Oficinas
230,Segmento 2,MES 3,7,4,Buena atención,Lo están haciendo bien
231,Segmento 1,MES 1,8,4,Buena atención,Está bien
232,Segmento 1,MES 2,8,3,Muy demorado,Dar respuesta inmediata sin tantos rodeos
233,Segmento 1,MES 3,8,5,Buena atención,Ok
234,Segmento 1,MES 1,8,5,Rápida atención,Enviar oportunamente mi estracto por email. Y no acelerar pagos por 5 días en mora
235,Segmento 2,MES 2,7,1,Muy demorada la atención,
236,Segmento 1,MES 3,8,5,buena atención,bien.gracias
237,Segmento 1,MES 1,8,3,Todo normal,
238,Segmento 1,MES 2,7,3,Demorada la atención,Poder hacer estos trámites en línea
239,Segmento 2,MES 3,8,5,Excelente servicio,Más asesores o cajeros
240,Segmento 1,MES 1,8,5,Buen servicio,
241,Segmento 2,MES 2,8,5,Buena atención,
242,Segmento 1,MES 3,8,4,Buen servicio,Nada
243,Segmento 1,MES 1,8,5,Excelente atención,
244,Segmento 1,MES 2,8,4,Buena atención,Todo bien
245,Segmento 1,MES 3,8,4,La atención,Q hayan más personas atendiendo
246,Segmento 1,MES 1,8,4,Por la atención,"Que los asesores que sean más rápidos  en atender los clientes,aveces pasan más de 40 minutos y no pasan los turnos que están en espera"
247,Segmento 1,MES 2,7,4,N/a,
248,Segmento 2,MES 3,8,3,Buen servicio,Tener mas personal de atención en horas del mediodía
249,Segmento 1,MES 1,7,5,Si,"No, realmente fue oportuna la ayuda del asistente"
250,Segmento 1,MES 2,8,3,Sin comentarios,La atención es muy buena
251,Segmento 1,MES 3,8,3,Todo fue normal,Demasiada gente y la fila larga mucha demora y se pierde tiempo.
252,Segmento 1,MES 1,8,5,Buena atención,Tener agua al servicio hacen muchas calores en lo que se espera que lo atiendan
253,Segmento 1,MES 2,8,3,Muy demorada la atención,Más personal
254,Segmento 2,MES 3,8,5,La atención fue rápida,Todo está bien
255,Segmento 2,MES 1,8,3,No me resolvieron,Resolver las inquietudes de manera inmediata
256,Segmento 1,MES 2,8,3,Todo igual,I
257,Segmento 1,MES 3,8,3,Na,
258,Segmento 2,MES 1,8,4,Buen servicio,
259,Segmento 3,MES 2,7,5,Buena atención,
260,Segmento 1,MES 3,7,4,Si,Más asesores
261,Segmento 1,MES 1,8,3,por nada,que otra persona pueda ir a pagar tu tarjeta
262,Segmento 2,MES 2,8,5,Buena atención,Todo bien
263,Segmento 1,MES 3,8,4,Atención rápida,Más cajeros
264,Segmento 1,MES 1,8,5,Buen servicio,Nada
265,Segmento 1,MES 2,8,5,Buen servicio,Todo está bien
266,Segmento 1,MES 3,8,3,Todo igual,Descongestionar un poco las ventanillas de asesoría
267,Segmento 1,MES 1,8,5,Servicio,
268,Segmento 1,MES 2,8,3,No se,
269,Segmento 1,MES 3,8,3,Sigue igual,Mejor atención posible
270,Segmento 1,MES 1,7,3,Buena atencion,Seguir asi
271,Segmento 2,MES 2,8,4,me atendieron rápido,Por ahora esta bien asi
272,Segmento 1,MES 3,8,5,Atención rápida,Estoy satisfecho
273,Segmento 1,MES 1,8,5,Por la atención,Nada porque todo está bien
274,Segmento 1,MES 2,8,3,n.a,mejorar la banca virtual
275,Segmento 2,MES 3,7,5,BUENA ATENCION,
276,Segmento 1,MES 1,7,3,Mucha demora,
277,Segmento 2,MES 2,8,5,Excelente atención,Por ahora creo está bien
278,Segmento 1,MES 3,8,3,Buen servicio,Todo es correcto. Es la forma de atención bancaria y difícilmente se puede cambiar.
279,Segmento 1,MES 1,7,4,MUCHA DEMORA,MAS CAJEROS
280,Segmento 1,MES 2,8,4,Servicio,Atencion prioritaria adulto mayor
281,Segmento 1,MES 3,8,5,Buena atención,
282,Segmento 2,MES 1,7,3,todo normal,mucha demora
283,Segmento 1,MES 2,8,5,Muy buena atencion,
284,Segmento 1,MES 3,7,1,Demora en la atención,Agilizar la atención
285,Segmento 1,MES 1,7,5,Excelente servicio,Mejorar atención al cliente por la línea telefónica
286,Segmento 2,MES 2,7,3,na,Estar mas atentos a lo que necesita el cliente.
287,Segmento 1,MES 3,7,2,Muy demorado el servicio,Agilidad en la atención al público
288,Segmento 1,MES 1,8,2,Muy demorada la atencion,Tener mas asesores para atender mas ágilmente.
289,Segmento 1,MES 2,8,5,Buena atención,Tener más medios de comunicación
290,Segmento 2,MES 3,8,4,Por la atención,Sigan así
291,Segmento 1,MES 1,8,5,Buena atencion,Su atencion es buena
292,Segmento 1,MES 2,8,5,Buen servicio,Más agilidad
293,Segmento 1,MES 3,7,5,Muy buena atención,"Creo que tienen muy buena atención al cliente, así está perfecto"
294,Segmento 2,MES 1,8,3,Sigue igual,
295,Segmento 2,MES 2,8,3,Sin comentarios.,Sin comentarios.
296,Segmento 1,MES 3,8,5,Fue rapido,"Que funcionen los cajeros, porque hay pocos y no sirven"
297,Segmento 2,MES 1,7,3,Sin comentarios,"Si ya llamaron para recordar una deuda en la mañana y se les dice que en tres días pagaré porque estoy de viaje en actividades de trabajo, que sentido tiene que al día siguiente llamen dos o tres veces más para lo mismo...."
298,Segmento 1,MES 2,8,5,Me atendieron bien,Nada
299,Segmento 1,MES 3,8,5,Agilidad en la atención,Mejorar la atención en la oficina de unicentro
300,Segmento 1,MES 1,8,3,Demora en la atención,Que atiendan todos módulos de caja o den turno al adulto mayor
301,Segmento 1,MES 2,8,5,La atención fue rápida,Todo estuve a tiempo a pesar de que había mucha gente
302,Segmento 2,MES 3,8,3,Mucha demora,Mejor servicio al cliente
303,Segmento 1,MES 1,7,3,Mucha demora,
304,Segmento 1,MES 2,7,4,por que si,porque si
305,Segmento 1,MES 3,8,4,Atención,Cupo
306,Segmento 2,MES 1,8,5,Buena atención,Seguir siendo amables
307,Segmento 1,MES 2,7,3,No hubo solución,Dar solución
308,Segmento 1,MES 3,7,5,Buena atención,"Los tiempo sean menores ,para activar todo los servicios"
309,Segmento 1,MES 1,8,4,Buen servicio,
310,Segmento 1,MES 2,7,5,Excelente atención,Fue excelente
311,Segmento 1,MES 3,8,3,,Personalizado
312,Segmento 2,MES 1,8,3,TODO NORMAL,PIENSO QUE POR AHORA TODO BIEN.
313,Segmento 1,MES 2,8,4,Buena atencion,Ofrecer credito
314,Segmento 1,MES 3,7,3,Mucha demora,Más empleados
315,Segmento 1,MES 1,8,3,Me atendieron rápido,Más personal en servicio al cliente
316,Segmento 1,MES 2,8,5,Buena atención,Excelente
317,Segmento 1,MES 3,8,3,Na,Na
318,Segmento 1,MES 1,8,4,La atención fue buena,No tengo comentarios
319,Segmento 1,MES 2,8,5,La atención fue buena,Nada
320,Segmento 1,MES 3,8,4,Buena atención,
321,Segmento 1,MES 1,8,5,Buena atención,Mejorar la atención personal no virtual
322,Segmento 1,MES 2,8,5,Servicio rapido,
323,Segmento 1,MES 3,8,3,Igual todo,
324,Segmento 1,MES 1,8,5,Atención amable y efectiva,no tengo propuesta
325,Segmento 1,MES 2,7,3,Demora en la atención,Que el personal sea más comprometido
326,Segmento 1,MES 3,7,3,Muy demorada la atencion,Mirar cómo poder agilizar la atencion
327,Segmento 1,MES 1,7,5,Excelente servicio,Agilizar más los turnos
328,Segmento 1,MES 2,8,3,Muy lento el servicio,"Aumentar número de empleados, más rapidez para mejorar el servicio al cliente."
329,Segmento 1,MES 3,8,3,Igual todo,Capacitar al personal........para que atiendan MEJOR A LOS CLIENTES
330,Segmento 1,MES 1,8,5,Buena atención,El servicio es muy bueno
331,Segmento 2,MES 2,8,5,Atención,
332,Segmento 2,MES 3,8,5,BUENA ATENCION,
333,Segmento 1,MES 1,8,3,Muy demorada la atención,Colocar más asesores capacitados
334,Segmento 1,MES 2,8,5,Atención,Una oficina cerca a Normandía.. Villaluz
335,Segmento 1,MES 3,7,4,Me atendieron rápido,Fui con mi bebé en brazos. Darle prioridad a  las madres
336,Segmento 1,MES 1,8,2,la demora en la atención,más cajeros
337,Segmento 1,MES 2,7,3,Todo igual,Que me activen la tarjeta de crédito.
338,Segmento 1,MES 3,8,3,Todo igual,Todo bien
339,Segmento 2,MES 1,10,5,Buen servicio,
340,Segmento 1,MES 2,10,5,Excelente atención,Todo esta bien
341,Segmento 2,MES 3,10,5,Atención,Mas asesores iniciando la jornada
342,Segmento 1,MES 1,10,5,si,
343,Segmento 2,MES 2,10,5,Buena atención,"Quitar de mi cuenta un cobro de 22,900 que me aparece por cuenta protegida y yo jamás he autorizado.
 gracias"
344,Segmento 1,MES 3,9,5,Buena atención,El proceso de  asesoría
345,Segmento 1,MES 1,10,5,Muy buena atención,La atención fue muy buena
346,Segmento 1,MES 2,10,5,Excelente servicio,.
347,Segmento 1,MES 3,9,5,buen servicio,cajero automáticos que reciban efectivo
348,Segmento 2,MES 1,10,5,Excelente servicio,Viene haciendo bien
349,Segmento 2,MES 2,9,3,Buen servicio,Bajar tasas de inetreses
350,Segmento 1,MES 3,10,5,Buena atención,Está perfecto
351,Segmento 1,MES 1,10,3,Todo igual,
352,Segmento 1,MES 2,10,5,Buena atención,Ser amables con los usuarios
353,Segmento 1,MES 3,10,5,Muy buena atención,Todo muy bien
354,Segmento 1,MES 1,10,3,Todo normal,
355,Segmento 1,MES 2,10,5,Excelente atención,Continuar con la mejor atención al cliente
356,Segmento 1,MES 3,9,5,Buena atención,
357,Segmento 1,MES 1,10,5,Excelente atención,Más rapidez para la atención
358,Segmento 1,MES 2,10,4,Buena atención,"Tener oficina en el norte ese la ciudad, me toca desplazarme desde muy lejos para ir a una oficina en Medellín"
359,Segmento 1,MES 3,10,5,Muy buena atención,
360,Segmento 1,MES 1,10,5,Excelente servicio,Atención Excelente
361,Segmento 1,MES 2,10,5,Si,
362,Segmento 1,MES 3,10,5,,
363,Segmento 1,MES 1,10,5,Muy buena atención,Una sugerencia seria aumentar el número de ascesores
364,Segmento 1,MES 2,10,5,Muy buena atención,Todo está bien
365,Segmento 2,MES 3,10,5,Excelente atención,
366,Segmento 1,MES 1,10,3,excelente atencion,mejorar el tiempo
367,Segmento 3,MES 2,10,3,Excelente servicio,Gestionar más cajeros
368,Segmento 1,MES 3,9,3,Igual,Está bien
369,Segmento 1,MES 1,9,4,Por la demora,
370,Segmento 2,MES 2,10,3,Todo bien,
371,Segmento 2,MES 3,10,5,Buen servicio,Más cajeros
372,Segmento 1,MES 1,10,5,Buena atención,Tener mas sillas de espera
373,Segmento 2,MES 2,9,4,Sigue igual,Servicio al cliente más rápido con asesor.
374,Segmento 1,MES 3,9,5,Atención,Más empleados
375,Segmento 2,MES 1,10,5,Excelente atención,Continuar con la excelencia
376,Segmento 1,MES 2,10,3,,Esta todo bien
377,Segmento 1,MES 3,10,5,Excelente servicio,Más ampliazon de productos
378,Segmento 1,MES 1,10,5,Buen servicio,
379,Segmento 2,MES 2,10,5,Buena atención,Aligerar las consultas
380,Segmento 1,MES 3,9,5,Todo bien,Hasta ahora todo ah funcionado súper
381,Segmento 1,MES 1,10,5,Buena atención,Seguir atendiendo bien
382,Segmento 1,MES 2,10,5,Buena atención,Sostener horarios
383,Segmento 1,MES 3,10,5,Buena atencion,Nada hay esta bien
384,Segmento 1,MES 1,10,5,Muy buena atención,
385,Segmento 1,MES 2,10,3,Todo igual,Siempre la atención es buena
386,Segmento 2,MES 3,9,5,Buena atención,No gracias
387,Segmento 2,MES 1,10,5,excelente atencion,
388,Segmento 2,MES 2,10,4,excelente atencion,
389,Segmento 1,MES 3,10,5,Excelente servicio,Todo es excelente
390,Segmento 1,MES 1,10,5,Excelente atención,La atención fue excelente
391,Segmento 1,MES 2,9,5,Buena atención,
392,Segmento 1,MES 3,10,5,Atención rápida,
393,Segmento 1,MES 1,10,5,Excelente atención,Satisfecho
394,Segmento 2,MES 2,10,5,Todo bien,No. Todo está bien
395,Segmento 2,MES 3,10,5,La atencion es rapida,Ninguna
396,Segmento 1,MES 1,10,5,Excelente atención,Todo fue perfecto
397,Segmento 1,MES 2,10,5,Buen servicio,Todoesta bien
398,Segmento 1,MES 3,10,5,Buen trato,Seguir igual
399,Segmento 1,MES 1,10,5,Muy buena atención,Personal con talento humano que le interese las personas
400,Segmento 1,MES 2,10,5,Servicio,Ampliar coberturas
401,Segmento 1,MES 3,10,5,Muy buena atención,Tal vez
402,Segmento 1,MES 1,10,5,Excelente atención,Seguir adelante
403,Segmento 1,MES 2,10,5,Excelente servicio,Ampliar oficinas en Manizales
404,Segmento 1,MES 3,9,5,Buena atención,Ok
405,Segmento 1,MES 1,10,5,Buena atención,No cambiar
406,Segmento 1,MES 2,10,5,Me atendieron bien,Mejorar el manejo del personal entrante
407,Segmento 1,MES 3,10,5,Buena atención,ampliar el horario de la sucursal virtual o App
408,Segmento 1,MES 1,9,4,Buen servicio,Por el momento está bien
409,Segmento 1,MES 2,10,5,Buena atencion,
410,Segmento 2,MES 3,10,5,Buena atención,Esta súper cómo está
411,Segmento 2,MES 1,9,5,Excelente servicio,
412,Segmento 1,MES 2,9,3,Igual,No aplica
413,Segmento 1,MES 3,10,5,Excelente atención,Todo ok
414,Segmento 1,MES 1,10,5,Excelente servicio,Hasta ahora todo bien
415,Segmento 1,MES 2,10,5,Excelente servicio,Todo está perfecto
416,Segmento 1,MES 3,10,5,Excelente servicio,La verdad quede muy satisfecha
417,Segmento 1,MES 1,10,4,Muy buena atención,
418,Segmento 1,MES 2,10,5,Buen servicio,Todo está bien
419,Segmento 1,MES 3,10,5,Buen servicio,Estoy satisfecha
420,Segmento 1,MES 1,9,4,La atención fue rápida,Poner más sedes
421,Segmento 1,MES 2,10,5,Buena atención,Todo esta bien
422,Segmento 2,MES 3,9,3,Igual,Mas cajeros
423,Segmento 1,MES 1,10,3,Sin comentarios,Me gustaría tener más puntos de atención
424,Segmento 1,MES 2,10,5,Excelente atención,
425,Segmento 1,MES 3,10,5,Excelente atención,No todo es perfecto
426,Segmento 1,MES 1,9,5,excelente atencion,
427,Segmento 1,MES 2,9,4,ok,ok
428,Segmento 2,MES 3,10,5,Excelente atención,Conservar el nivel de servicio
429,Segmento 1,MES 1,10,5,Buena atención,Todo está perfecto
430,Segmento 2,MES 2,10,5,Buena atención,El sistema funciona muy bien
431,Segmento 1,MES 3,10,5,EXCELENTE ATENCION,SEGUIR CON LA EXCELENTE ATENCION
432,Segmento 1,MES 1,10,5,Buen servicio,Está bien
433,Segmento 1,MES 2,10,5,Buena atención,
434,Segmento 2,MES 3,9,5,Buena atención,Así está bien
435,Segmento 1,MES 1,10,3,Todo igual,estuve bien atendida
436,Segmento 1,MES 2,10,5,Muy buena atención,Que atiendan rápido. Para poder llegar a la caja ligero
437,Segmento 1,MES 3,10,3,X,X
438,Segmento 1,MES 1,10,5,Buena atención,
439,Segmento 1,MES 2,10,5,Excelente atencion,
440,Segmento 1,MES 3,10,5,Excelente atención,Gracias. Fue oportuno
441,Segmento 1,MES 1,10,5,Buen servicio,Sin comentarios
442,Segmento 1,MES 2,9,5,Por la atención,
443,Segmento 1,MES 3,10,3,Sin comentarios,"Da igual, nada va a cambiar, esta encuesta es solo tramite,"
444,Segmento 1,MES 1,10,5,Buen servicio,Mejorar la atención virtual
445,Segmento 1,MES 2,10,3,N,Muy buena experiencia conocer los grandes beneficios y el buen trató
446,Segmento 1,MES 3,10,5,Excelente servicio,
447,Segmento 1,MES 1,10,3,Todo normal,Asignar citas electronicas
448,Segmento 1,MES 2,10,3,Excelente servicio,Estoy satisfecho
449,Segmento 1,MES 3,9,5,Muy buena atencion,
450,Segmento 2,MES 1,10,5,Muy buena atención,Todo bien
