segment,answerDate,NPS,impactInteraction,reason,improvement
2,2,8,3,"Todo es igual que siempre, no hay mejoras ni innovación en la página, y ahora se demoran en llegar los códigos al correo para aprobación de transacciones. Y la página está molestando al utilizarla por Google Chrome.",Innovar y que funcione la página en todos los navegadores
1,3,8,3,Por que lo que más me motiva no es la logística de la aplicación si no las tasas de interés. Se deberían bajar las tasas de interés,Más convenios con establecimientos
1,1,8,3,"La siento igual de rápida, sobresaliente a diferencia de otros bancos donde es lenta y como desarrollador puedo dar buena fe de su trabajo.","Hacerla más intuitiva para buscar certificados y ese tipo de cosas que es lo que todos los bancos tienen en común, qué hacen eso tedioso"
1,2,7,4,No hay una razón en particular,
2,3,8,3,Siempre ha sido excelente el trato,Por ahora nada
1,1,7,3,Nanananansn,Nanananan
1,2,8,3,No he tenido respuesta,Agregar una opción de seguimiento para las recepciones de dinero del exterior
1,3,8,4,Porque me permite hacer varias gestiones sin necesidad de trasladarme o llamar,"Que el número de intentos diarios para transacciones se permita modificar por lo menos a 10 intentos, o que se ajuste al perfil transaccional de cada cliente. Adicional que se pueda utilizar correctamente los fines de semana tanto la aplicación como la página web"
1,1,8,4,"Es rapido, seguro, no cobran transferencias a otros bancos.",Algunas veces en la noche no funciona
1,2,7,3,Demora en el sistema,Agilizar el sistema
2,3,8,4,"mejores y mas servicios, ademas de la tener el banco interactuando como banco disponible para otras operaciones con otras empresas para el pago de facturas y otros","mas Cajeros, se tiene un numero muy limitado de cajeros y disponibilidad de oficinas fuera de ciudades principales"
2,1,8,4,,
1,2,8,4,,
2,3,7,3,,"Mejoras:
- Así como se agilizan los procesos mediante la baca virtual porque debo ir a una oficina para cerrar un CDT si lo abrí vía internet ? 
- Porque los extractos de la TC son tan poco claros?
- Es posible facilitar la actualización e los datos de cuenta para hacer las transferencias."
1,1,7,4,Porque es más confiable,Procesos más ágiles
1,2,8,3,Normal,Tener la línea disponible a toda hora
1,3,8,3,,
1,1,8,2,"Por qué a media noche,no deja hacer ningún tipo de transacción o retiro.",Que esté activa siempre 24/7
1,2,8,3,,
1,3,7,4,Es muy buena pero no hay sucursales cercanas y no las hay en todos los municipios,
1,1,8,3,,
1,2,7,1,"Buenas Tardes, yo siempre mis evaluaciones han sido buenas pero ahora no lo es, tienen una oportunidad de Mejora, el sistema esta más lento de lo usual. Los datos de las tarjetas de Crédito no estan siempre actualizadas. Las transferencias al exterior y locales  estan bien. El ambiente utilizado es facil de manejar pero un poco lento. Muchas Gracias por preguntar.","Mejorar el desempeño del sistema , es lento y las informaciones de tarjetas de credito deben estar actualizadas. Muchas gracias"
2,3,8,4,"Es seguro, facilita las transacciones","Aumentar el tiempo para que los traslados s vean el mismo día
Facilitar a transacción con plataformas como Nequi"
1,1,7,2,Desactualización en saldo tarjeta crédito.,"Dejar de cancelar el servicio, después de media noche."
2,2,8,4,Porque si,Por el momento todo bien
2,3,7,3,,ser mas efectiva.....los procesos con uds con otros bancos son muy ineficaces
1,1,7,3,Son mis primeras transacciones con mi cuenta nominal,Por el momento así está bien
1,2,7,3,"Fallas al descargar certificados tributarios

Faltan más opciones de auto atención para no depender de las oficinas",
1,3,8,5,El muy fácil de utilizar la app,
3,1,7,3,,darme mas control en la pagina web
2,2,7,5,practica e intuitiva,*
1,3,8,3,,
2,1,7,2,"Hay un tema y es que cada vez suben más el número de transacciones para no generar cobro de cuota de manejo de las tarjetas, estas políticas parecen diseñadas más para afectar al cliente que para favorecerlo",revisar el tema que se comenta
2,2,8,3,Este año tuvimos problemas con los usuarios.,mejorra el servicion en cuantoa no tener problemas con los usuarios
1,3,8,3,,Tocó esperar mucho tiempo en la línea para que me atendiera el asesor.  Se deben mejorar éstos tiempos de espera.
1,1,8,3,,
1,2,7,4,por la facilidad de realizar transferencias,"mayor disponibilidad, a veces falla"
2,3,8,4,Agilidad y confiabilidad. Seguridad,"Creo estamos bien, mantener informado a los clientes de nuevas alternativas"
1,1,8,3,"no se pueden realizar transferencias después de 12pm, no es muy agradable. En caso de emergencia no se puede contar con el dinero",dejar realizar transferencias a cualquier hora
3,2,7,1,Continuas fallas y cierres de la aplicacion,"Asegurar el buen funcionamienro de la aplicacion e informar los horarios en l9s q funciona el portal, nofes 24 horas"
1,3,8,3,,
1,1,8,5,Facilidad e interfaz,.
2,2,7,3,,
3,3,8,3,Fàcil y ràpido,
1,1,7,3,ES SEGURA,MAS SEGURIDAD
1,2,8,4,facilidad,
1,3,7,1,"No ha sido posible comunicarme con una persona ni virtual, ni telefónicamente",Que haya la opción de comunicarme con una persona que me pueda ayudar virtual o telefónicamente. Telefónicamente me piden la clave de mi tarjeta débito y me he estado comunicando precisamente porque la olvidé
1,1,8,3,no ha cambiado la atención y el servicio,"La información que se pida a los asesores sea uniforme, he llamado cuatro veces por un caso y me han dado cuatro respuestas diferente y cero soluciones. Tampoco me quisieron atender en oficina"
1,2,8,3,,
1,3,8,4,Es una entidad confiable,Mejor atención al público
2,1,8,4,,
2,2,8,3,,
2,3,10,5,"Fácil, rápida, simple, sin costo","Mantenerla simple, sencilla, cero publicidad."
1,1,10,5,Excelente,Excelente
2,2,9,5,Por su excelente servicio,No tengo ninguna sugerencia
2,3,10,5,el servicio es muy bueno,por ahora todo está bien
1,1,10,5,Muy fácil de usar,Nada
2,2,10,3,"Siempre he tenido buena imagen de la entidad. Confianza, atención y pronta solución de problemas, entre otras cosas, hacen que tenga la mejor opinión.",Nada. Es perfecta.
1,3,10,4,Es de fácil interacción,Ser menos rigurosos o simplificar para obtener créditos rápidos de bajos montos
1,1,10,5,,
1,2,10,5,,
1,3,10,5,,
2,1,9,5,"Practicidad, facilisimo y Estructura",N
1,2,10,5,,
1,3,9,3,,Considero esta bien asi.
1,1,10,5,"Por que todos los pagos ,y demás transacciones las hice sin inconvenientes por la app muy segura y confiable",Continúar el buen funcionamiento de la app
2,2,10,2,He tenido dificultades para realizar transferencias.,Que pueda hacer las transferencias.
1,3,10,3,Siempre ha sido una buena experiencia,Por ahora no veo nada que se puedad mejorar
1,1,10,4,Muy fácil de manejar,Está bien así la banca virtual
2,2,10,5,Servicios que ofrece.,He tenido problemas con la digitación de contraseñas
1,3,9,3,Fue igual de facil y rapido,La parte de ajustar las alarmas o recordatorios nunca me ha funcionado; me debe avisar cuando hagan una consignacion por ej y no lo hace
1,1,10,5,Excelente rápida y fácil de manejar,Que el código llegué más rápido aveces demora
2,2,9,4,,Más opciones en el app
2,3,9,3,,
2,1,9,3,,
2,2,10,5,,
1,3,10,5,Facilidad y seguridad,
2,1,10,5,Por comodidad y seguridad,
3,2,10,3,Es muy buena para mis necesidades,Para mi está bien
1,3,10,5,"Comparando su plata forma a otros bancos, la de Colpatria es excelente rápida fácil manejo tanto en ingresar, como en realizar pagos por pse, transferir, recargas muy rápido y seguro. Sigan mejorando. Excelente banco.","En mi experiencia y en lo q la utilizo hasta el momento excelente. Si me gustaría q cuando llegue o le paguen un dinero sea de nómina o x destino, llegará un aviso al correo de q fue depositado dinero a mi cuenta, así como cuando uno retira q llega por sms o el correo. Eso sería las mejoras en mi caso. Gracias"
2,1,9,3,No ha habido mejora ni desmejora,Agregar más servicios
2,2,10,5,Muy buena,
1,3,10,4,,
1,1,10,3,No tuve ninguna novedad con mis transacciones.,"Hasta el momento, sin recomendaciones."
1,2,9,5,Por la comodidad de hacer las transacciones directamente desde el hogar o desde la oficina es decir tenemos un banco a la mano,Mmmm pues por el momento no se me ocurre que podría faltar
1,3,10,3,Gracias 😊,Todo bien
1,1,10,5,Muy eficiente,Nunca cambien
1,2,10,1,Okokokoko,Bno bno
2,3,10,3,,
2,1,10,3,Funciona normalmente,Revisar el menú de pagos y los datos que salen en la página
1,2,10,5,Es muy util y facil de usar,La puesta del código es a veces dificil o no llega.
2,3,10,3,"Simpre la atencion es excelente, cuando llamo a Multibanca las personasss que atienden siempre son amables, me han resuelto cualquier problema, quedo clara en cualquier informaacion que he solicitado. Me siento muy bien atendida y me encanta este Banco.","Creo que nada, por el momento me siento muy bien, todo es maravilloso, nunca he tenido problemas con ustedes, mas bien siempre me resulven cualquier duda o inquietud."
1,1,10,5,Muy buena app,La página se demora en cargar
1,2,10,5,Mejor prestación de servicio y más rápido,Velocidad
1,3,10,4,,Esta excelwnte
1,1,10,5,"Es mi banco desde hace casi 20 años y me gusta la atención; sin embargo, no entiendo porque cierran puntos de atención tan centrales como Gran Estación.","Poner más cajeros multifuncionales, ayudan muchísimo."
3,2,10,5,Mejora los procesos bancarizados,Por el momento no se me ocurre
2,3,10,3,Se mantiene el excelente servicio,Por ahora nada
1,1,10,5,Excelente todo un maravilloso banco y aplicación,
2,2,10,3,La veo igual,Me parece que está bien como est
1,3,10,5,.,.
1,1,9,5,"Muy sencilla y orgánica de usar, además cuenta con buena seguridad",
2,2,9,3,Siempre ha sido un buen servicio,Seguir haciendo las transacciones fáciles y rapidas
1,3,10,4,,
2,1,10,3,,
1,2,10,4,Inmediatez en las confirmaciones de movientos de la cuenta,"seguir con atenci+on personalizada, ahora todos los bancos y entidades en general ya no tienen este servicio y los robots no son muy efectivos en las consultas"
1,3,9,5,,
2,1,10,5,Es muy exelente,Esa aplicacion amejorado mis tiempos
1,2,10,5,La sé usar...,No sé
2,1,10,5,,
2,2,10,5,Intuitiva,Un poco más rápido el inicio
1,3,10,5,Por qué todo es muy fácil de hacer,Todo lo que hagan para mejor es mucho mejor para nosotros y muchas gracias ga
2,1,10,5,Funciona muy bien,Por ahora nada
1,2,10,5,"Fácil manejo de operaciones como transferencias, monetización de moneda extranjera, sin salir de casa","En todas las operaciones, dar opción de envío de códigos tanto por correo electrónico como al celular"
2,3,10,5,Muy facil. Con otras cuentas en otros bancos Scotiabank lo hace muy facil,Seguir presntando servicios. Ojala lograr la nomina de los pensionados del magisterio de maestros de Bogota. Ellos tienen con BBVA y es muy regular el servicio movil.
1,1,10,5,Porque los procesos son ágiles y rápidos,
1,2,10,5,,
1,3,10,5,Solucionan las inquietudes de manera eficiente,Me gusta todo
1,1,10,5,,
2,2,10,3,,
2,3,10,5,"Cada vez que he necesitado información, siempre ha habido un empleado que de manera eficiente me ha dado la respuesta que he necesitado o ha ayudado a aclarar las dudas que he tenido.",Estoy satisfecha.
2,1,10,5,,Todo está muy bien y rapido
2,2,10,4,Parece que hay un link que aparece de primeras intentando tomar datos de los usuarios siempre debo fijarme que sea la plataforma correcta,Revisar esa plataforma que aparece y que es para robar datos
1,3,9,5,,
1,1,10,3,,Tener mas cajero a disposicion
1,2,10,5,Funciona mejor. Ofrece protección y discreción y es dinámica y fácil de entender,creo que está bien
1,3,10,5,,
2,1,10,4,Muy fácil de usar y conveniente,No cerrar la cuenta si pido el código pin de seguridad más de 2 o 3 veces
1,2,10,5,Siento que es segura y rapida,Nada
1,3,9,5,Porque la facilidad para hacer mis pagos sin salir son de gran ayuda,Estaría por pensar en algún momento presente fallas
1,1,10,5,Porque fue de gran ayuda,
2,2,10,3,,Esta perfecta
1,3,9,3,,
1,1,9,5,Eficiencia rapidez,incrementando como lo esta haciendo
1,2,10,3,Por que hay veces no me llegaba el salario puntual,En las oficinas del banco
1,3,10,4,Porque es de fácil uso,
2,1,9,5,Porq fue rápido y efectivo,Para mí está todo bien
1,2,10,4,Siempre es ágil,Nada
1,3,10,3,,
1,1,10,4,"Es segura, casi nunca se cae",
1,2,9,4,porque en veces pasadas no pude hacer transferencias fácilmente pero desde un tiempo para aca no he tenido ningun problema en hacer cualquier tipo de pago o transferencia,
2,3,9,3,"Es buena la app, falta mas rapidez para actualizar en tiempo real transacciones",Más rapidez a la hora de actualizar los movimientos y pagos por hacer
3,1,9,3,La situación es estable,Su plataforma normalmente trabaja bien
1,2,10,5,Ok,Ok
2,3,10,4,Funciona muy bien y en forma sencilla,Revisar la aplicación para exportar el Boucher de las transacciones a veces no  funciona
2,1,10,4,Q,
2,2,9,5,Efectiva actividad,Gracias
1,3,10,5,Es ágil u sencilla,Hasta ahora me ha funcionado muy bien
1,1,10,5,,
1,2,10,5,El acceso a la banca es muy rápido y seguro,Mejorar el sistema de agregar los bolsillos
1,3,10,5,"Muy rápida, y confiable.",
1,1,10,5,Fácil acceso a compras y pagos,Todo bien
2,2,9,3,La página se sigue poniendo en blanco sin permitir continuar la operación cuando regreso de una consulta y quiero volver a la página de inicio,"La página, que no se bloquee tan fácilmente al dar ""volver"""
1,3,10,3,,
2,1,10,4,Rápido,Que los Cdts se pueda decidir desde antes si se quiere cancelar o continuar
1,2,10,1,,"Poner más corresponsales  
Para retirar dinero"
1,3,9,4,"Rápida, amigable y segura",por mi está bien
1,1,10,5,Facilidad de uso y rapidez en la transacción,Comunicación a través de Whatsapp porque vivo fuera del país
2,2,10,5,Por la rapidez en las transacciones,
2,3,9,3,Funciona correctamente,Que funcione las 24 horas
2,1,10,5,Por la agilidad del servicio.,
3,2,10,5,"La aplicación móvil incluyó varias funcionalidades, que solo se podían realizar desde la plataforma de la páguina web. Es de fácil uso y se pueden hacer varios trámites por esta","Ver la posibilidad de tener una opción para ahorro, esto para no tener disponible todo el dinero en caso de robo. Esto lo están implementando varios bancos. 
Tener la opción de la Certificación de los cdts virtuales al cierre de la vigencia para la declaración de renta"
3,3,9,5,"Existe mayor agilidad en los procesos en línea, además de la confianza que genera la seguridad de todas las transacciones.",Continuar con la agilidad de los procesos en línea
1,1,10,5,,
1,2,9,5,Es eficiente,Mantener las aplicaciones
2,3,9,5,Es muy ágil interacción con la interfaz,No se me ocurre
1,1,10,5,Excelente app y sus funciones,Permitir solicitar las tarjetas de crédito o créditos aprobados desde la app.
1,2,10,5,"Xq dan opciones como el
Código en el correo",Transacciones con el telefono
2,3,10,3,"Yo la uso todos los días, por favor no pedir clave y codigos para cuentas registradas y recurrentes 
Hay veces donde los pagos con transfiya no han funcionado y causan muchos inconvenientes . Favor informar si en domingos y festivos se demora hasta un día habil
Gracias",Ya lo dije
1,1,10,5,"Calidad de Servicio 
Buena Atención Virtual
Excelente Interacción 
Gracias 
Bendiciones 
Felicitaciones",Gracias
1,2,9,4,Es buena y rápida,Hasta él momento ha funcionado bien
2,3,10,4,Fue rápida su respuesta,
2,1,10,5,,
2,2,10,4,Por agilidad y confianza,
1,3,10,3,excelente servicio,realizar las transferecias en el banco de destino a las 8 am
2,1,9,3,El nivel de confiablidad y agilidad sigue siendo muy bueno,"Mangtener el buén nivel que tienen de confiabilidad, seguridad y agilidad"
1,2,10,5,La facilidad de manejar la app y tener control sobre la cuenta,
1,3,10,5,Fácil de usar,Todo funciona bien
1,1,9,5,Por su rapidez,
1,2,9,5,Facilidad de Acceder y Seguridad Transaccional,
1,3,10,5,Las transferencias salen sin demora,Que los mensajes de pago lleguen a tiempo
1,1,10,5,Siempre he podido realizar mis transacciones desde la banca virtual sin ningún inconveniente..... Rápido y seguro,No tengo recomendaciones en este momento.... Mis experiencias al sido positivas  en todo momento
1,2,10,2,rechaza las transacciones enviadas por transfiya,revisar falla de rechazo de transferencias desde transfiya
2,3,10,5,fácil manejo de plataforma,Estar con innovación de manera constante.
1,1,9,3,,Hacer más corto el menu
1,2,10,5,"Me da seguridad en lo virtual..lastima que existan tan pocos cajeros automáticos y locales físicos,pero siempre los trabajadores,cajeros son eficientes y muy atentos","Más cajeros ,más presencia física,...muy contento con la eficiencia virtual"
1,3,10,5,Atención directa y rápida,"Mantener la página ágil y eficiente en sus conocimientos y soluciones el personal de la línea, siempre han sido muy buenos"
1,1,9,5,,
1,2,10,4,Pues fue ágil y eficiente,Nada por ahora
2,3,9,3,Ya otros bancos manejan la app incluso con mas opciones,"En mi caso está bien así, tiene los servicios que necesito"
2,1,10,3,,
1,2,10,5,"Porque es muy fácil de usar, tengo todo lo que necesito a la mano. Ya no hay necesidad de complicarme.","No he podido recibir notificación cuando me consignan. Sería excelente, muchas gracias."
2,3,10,3,,
1,1,10,5,Manejo muy fácil,Tener más opciones de retiro del dinero
2,2,10,3,Siempre me ha parecido un buen servicio,Así está bien.
2,3,10,5,"la banca virtual es excelente, siempre lo ha sido y cada vez la mejoran mas",registro de solicitudes con radicado y respuesta por email o llamada
2,1,9,3,"Sigue siendo igual, la recomiendo, es una buena opción para no ir a una oficina física.","Facilitar transferencias a nequi y daviplata, son dos opciones que se usan mucho hoy en día."
2,2,10,5,Es fácil práctica,Implementar bolsillos
1,3,10,5,La experiencia de navegar por la app Davivienda es muy satisfactoria.   Fácil y práctica,
1,1,10,5,App,
2,2,10,5,"El manejo de su web es muy efectiva, clara y fácil de utilizar.
La atención en sus oficinas, aunque demorada, es entendible por la cantidad de usuarios. Los servicios son bien atendidos.",Lo hacen bien.
2,3,10,4,muy facil de manejar,nada
1,2,10,5,,
1,3,10,5,"Porque es una buena entidad, genera confianza",Para mí está bien
2,1,9,4,.,Mejorar tiempo en las transacciones de transferencias a otros bancos
1,2,9,3,no hay infomración clara sobre transacciones más que un códifgo de referencia. En mi caso fue descontado un valor y a la fecha no sé quién lo realizó. Por más que lamé a Servicio al Cliente no me iformaron que entidad hizo el débito. Esa información debe estar clara en la aplicación y en el sitio web transaccional.,Mejorar la información de quienes realizan las transacciones.
1,3,10,4,esta bien,mas cajeros. tienen pocos. y poca asistencia técnica a los mismos
1,1,10,5,Es más rápida y fácil de manejar,
2,2,10,5,Ustedes ofrecen un buen excelente servicio y atención,
1,3,10,5,Por su rapidez y eficiencia,
1,1,9,4,Por su seguridad y fácil manejó,"Que se puedan descargar certificados de cuenta, pagos 24/7, que la información de movimientos sea en tiempo real"
2,2,10,5,Es facil de consultar y para realizar pagos.,Aumentar cajeros para depositos en efectivo
2,3,10,5,La aplicación es muy práctico y la seguridad con token muy bien,No tengo sugerencias
1,1,10,4,Porque facilita los pagos de otros servicios.,Por ahora no tengo recomendaciones.
2,2,10,3,El radicado 221111-001618  vista pagos programados aún no ha sido resuelto y lleva mucho tiempo en proceso.,Resolver el radicado 221111-001618  vista pagos programados aún no ha sido resuelto y lleva mucho tiempo en proceso.
1,3,10,5,Porque es muy amigable el manejo,Me parece súper
1,1,10,3,,No actualizarse no me deja entrar después
1,2,10,5,,To funciona bien
2,3,10,3,"No me cobran, soy feliz",No se me ocurre nada en el momento
2,1,9,4,Es más ágil,Más rapida
1,2,10,5,La transferencia realizada fue rapida.,Se ofrece muy buen servicio.
2,3,10,5,Porque puedo mover mi dinero sin tantas dificultades.,Ampliar el horario para giros internacionales.
2,1,10,4,mejoro lo atencion,
2,2,10,5,App fácil de ejecutar,Hacerla más dinámica
1,3,10,5,Excelente,Que sea más interactiva
3,1,10,5,Fácil de operar,
2,2,9,3,,
1,3,10,4,No tengo mayor comentario,
1,1,10,3,,
2,2,9,5,Transferencia entre bancos,Que lo de vayan del país
1,3,10,5,La agilidad y facilidad de las diligencias,Mantener comunicación continua sobre nivedades
2,1,10,3,,Disponibilidad 24 horas
3,2,10,3,BUEN SERVICIO,ATENCION AL  CLIENTE EN OFICINAS MAS AGIL
1,3,10,5,,
1,1,9,3,Desde que tengo la aplicación las transacciones me han parecido fáciles de realizar y es una app amigable,Creo que la app está funcionando bien
1,2,10,5,,
1,3,10,5,,
1,1,10,5,Porque es rápida la atención,Ningún
2,2,9,4,"Es sencilla y amigable aunque tiende a generar errores, esto último es suceptible de mejora.",Solucionar baches
1,3,10,5,,
1,1,9,3,,
1,2,9,4,,
1,3,9,5,Se resuelven las inquietudes,Ninguna
2,1,10,5,Me brindaron una atencion muy buena,
1,2,10,5,,
1,3,10,2,"No me esta funcionando bien, no me deja ingresar desde que cambie de cel",mirar si es que esta habiendo fallos en la app
2,1,9,4,Estoy muy contento con sus servicios,Nada
2,2,10,5,por tomar el seguro para mi persona me parece un servicio muy bueno,premios
1,3,10,3,No la utilizo porque nunca puedo retirar sin tarjeta,
2,1,10,3,Porque funciona bien,La información es clara
1,2,10,4,Me parece muy conveniente el cajero que han dejado en la ciudad de Fusagasugá Cundinamarca,No lo sé
1,3,10,5,Por qué es muy amigable y agil,Me parece muy resolutiva
1,1,10,5,Efectividad y seguridad,Seguir implementando estrategias de seguridad de la información
2,2,10,3,Todo ok,Posibilidad de habilitar Wallet con iPhone.
1,3,10,4,Es práctica y útil,Por ahora me parece práctica y cumple mis necesidades
1,1,10,5,Por la facilidad de pagos que se pueden generar,Bajarle el porcentaje a aplicar cobros por manejos de la cuenta y tarjeta
1,2,10,3,,
1,3,9,5,Pq la aplicación es rápida y segura y fácil de usar,Para esta bien hasta hora
1,1,10,5,Es ágil el uso del aplicación,Para sugerencias y reclamos sería más útil que implementaran opciones
1,2,10,5,"Nuevas actualizaciones que se realizaron, esto hizo que haya una mejora y probablemente recomendarlo a alguien mas. Como por ejemplo la creacion de bolsillos ademas la seguridad que maneja la aplicación para transacciones retiros y demas.",
1,3,9,4,,
1,1,10,3,Todo tranqui 10/10 su servicio,
1,2,10,5,Por la flexibilidad en cuanto a las transacciones que se pueden ejecutar y la rapidez en procesarlas.,Quizas para las transferencias desde el exterior que el deposito demore solamente 24 horas en procesarse.
2,3,9,4,,
2,1,10,5,Por qué es un servicio fácil y rápido que me permite recomendarlo,Creo por ahora que me ha sido muy útil
1,2,9,3,,
1,3,10,3,,
1,1,10,5,Pago con pse a mis tarjetas,Seguir trabajando en seguridad!!!!
1,2,9,3,,
2,3,10,3,VEngo usando la plataforma los ultimos 3 años no hay cambios,Hacerla mas simple
1,1,10,4,,
1,2,10,5,Porque no tienen intermitencias con la funcionalidad y tengo disponible diferentes medios para realizar las transacciones,Iterativamente ir mejorando las funcionalidades de la aplicación
1,3,10,5,Es muy fácil y practica de usar,Nada
2,1,9,3,Tienen las mismas funcionalidades. En el ultimo mes no ha habido mayor cambio,"Desarrollar nuevas funciones, pedir turnos en oficinas desde la app, solicitud de informacion de operaciones, tan solo desplegando la descripción de compras cargadas en el movimiento de los productos, notificación de compra no efectuada o posible fraude, desdela descripción de la compra sin pqr, posibilidad de validar desde la app, las calificaciones crediticias, según el manejo que le estoy dando a los productos, poder dar cierre a productos desde la web o la app."
2,2,9,4,"Porque veo, que lentamente van mejorando y fortaleciendo la banca Virtual. Importante, caso personal, al tener varias cuentas y no saber dónde tengo pago automático, cuando trato de inscribir un servicio ya inscrito, no debe a uno bloquearlo, sino informarle en cuál de las cuentas se encuentra inscrito. Esto facilita la gestión del cliente. Muchas gracias.",Ver recomendacion anterior.
2,3,10,3,La banca móvil suele funcionar bien,A veces no me llegan los códigos.
2,1,10,5,Confiable,Disponer de un crédito automático para los buenos clientes.
1,2,9,5,MUY COMPLETA LA APLICACION,TODO OK
1,3,10,3,,
2,1,9,3,,
1,2,10,5,"Por ser una cuenta 0 pesos, y por las muchas opciones que brinda.  Retiro con codigos y cta bolsillo me parecen buenos","Seguir con 0 pesos, aunque veo que descuentan poquito pero descuentan.  Necesito una tarjeta de credito para poder eliminar las que ya tengo"
2,3,10,4,AGILIDAD EN LA RESPUESTA,IDENTIFICAR CON PRIORIDAD LOS CLIENTES ANTIGUOS
2,1,9,4,,
1,2,10,5,Pagina y aplicativos muy amigables y fáciles de manejar,
3,3,10,3,El servicio es excelente. Gracias!,Gracias!!
1,1,10,3,No vi nada diferente en la aplicacion,"Mas prontitud en la Linea telefónica de atención al cliente, por lo demás la app funciona bastante bien."
2,2,9,3,Todo está igual,Tener más seguridad
1,3,9,3,,
1,1,10,5,Siempre me parece que es muy funcional,No se
1,2,9,3,Los tiempos de atención son acepatble y la atención muy buena,De pronto atender de manerá más rápida.....
2,3,10,5,Bien tecnologicamente,que sea mas amigable
1,1,10,4,Facilidad en los servicios,"Mantener el servicio 24 horas, una aprovecha las horas por la madrugada para comprar pasajes y no dispone del servicio de pago"
1,2,10,4,PORQUE ES DE FACIL ACCESO PARA MI,MAS CAJEROS AUTOMATICOS
1,3,10,5,La facilidad de manejo,La contraseña seria muy bueno que solo fuera la clave que utlizamos en el cajero
2,1,10,5,"Es muy ágil y segura, súper recomendada.","Por ahora está bien, los sistemas de seguridad dan mucha confianza"
2,2,10,4,Por las notificaciones de pagos de servicios y TC  pendientes por pagar,Si habitando más los horarios de pagos en fines de semana los cuales no me ha permitido
1,3,10,5,Fácil manejo,Poder repetir varias veces la cantidad de dinero de cuenta a cuenta
1,1,10,5,Seguridad y rspidez,Por ahora está muy bien
1,2,10,5,muy bien,
1,3,10,5,Porque hice lo que necesitaba hacer.,"La opción de poder congelar y descongelar la tarjeta, también el uso de pin para retiros sin tarjeta"
1,1,10,4,Es buena,Esta bien
1,2,10,3,Mi opinión de Colpatria siempre ha estado bien.  Sigue siendo.,Permite utilizar teléfonos móviles internacionales para la verificación.
1,3,10,5,Agilidad,Asegurar que no haya demora en el codigo de verificación que en ocasiones lo llega
2,1,10,3,Hace un tiempo uso el sistema,Permitir transacciones en horarios después de 10 pm
1,2,10,3,,
1,3,10,5,"Porqué conocí sobre la cuenta bolsillo, que me permite ahorrar y migrar mi dinero para no gastar mucho en esta época. Control financiero.",Todo es excelente con Scotiabank
1,1,9,4,Es fácil de acceder.,Complementar con algún servicio personal de chat
2,2,10,4,ESTOY MUY CONTENTA CON LOS SERVICIOS QUE BRINDAN-,SEGUIR CON SUS POLITICAS Y EL SERVICIO QUE BRINDAN A LOS CLIENTES.
1,3,9,4,,
2,1,10,5,"Excelente atención, disponibilidad y claridad en la solución.",Estoy satisfecho
1,2,10,5,,
3,3,9,3,Ha estado estable y normal,
2,1,10,5,,Mas opciones
2,2,9,3,"Es un buen servicio que agiliza mis actividades de pagos y transferencias. Aunque he tenido inconvenientes con la recargas a celular con el operador Tigo,",Que se tenga un periodo de tiempo más extenso para la realización de las trasferencias. La aplicación por seguridad la cierra muy pronto.
2,3,9,3,,
1,1,10,5,Es más rápido,Nada
1,2,10,5,Facil de acceder a todos los servicios.,Hasta los momentos no tengo nada que decir.
1,3,10,3,Prestan un buen servicio siempre,"Seguir haciendo un buen trabajo, gracias"
1,1,9,4,,
1,2,10,5,Muy ágil,Esta bien
1,3,9,4,Porque es ágil y práctica.,Así esta bien .
2,1,10,3,Excelente,Nada
1,2,10,5,velocidad,velocidad
1,3,10,3,Siempre me ha parecido que funciona bien para las operaciones que hago.,Usar la tecnología nueva disponible.
1,1,9,4,Me ha ido muy bien con la aplicación,Continuar mejorado  en protección y servicio
2,2,10,5,Solucionaron mis inquietudes,--
1,3,9,3,La experiencia con la banca virtual  siempre hasta ahora ha sido buena,La banca virtual en mi concepto ha funcionado muy bien
2,1,10,3,Ya conocía la plataforma,Está bien. Cumple con lo requerido cuando se accede on line
1,2,10,3,SIGUIO IGUAL DE BIEN.,SEGUIR ASI ESTA BIEN
2,3,9,5,"Porque ha sido muy fácil y agil hacer todas las operaciones que necesito, pago de servicios, transferencias. Es segura y siempre cuento con la información de mis cuentas inmediatamente",Estoy muy satisfecha
2,1,10,3,Siempre que la utilizo tengo buenos tiempos de respuesta,En este momento me parece que todo está bien. Gracias
2,2,9,3,Nunca he tenido problemas,Podrían implementar vcc virtual
2,3,9,5,"Información adecuada a mi solicitud, excelente atención e interés a mi solicitud.",Excelente
3,1,9,4,Porque soluciona muchos problemas para no ir a las agencias donde usualmente se pierde mucho tiempo.,"No sabría decir, seguramente se podrá mejorar, pero puedo dcir que es scientemente bueno, aunque no he profundizado mucho su conocimiento."
1,2,10,5,Plataforma ágil y de fácil manejo,
2,3,9,3,,
1,1,10,5,Excelente servicio,Ampliar Horarios nocturnos
2,2,10,4,"Es una aplicación fácil de usar, el inconveniente es que algunas veces no presenta el historial de las transacciones","Que las transacciones se actualicen de forma más rápida, las transacciones se demoran mucho para reflejarse en la plataforma"
1,3,10,5,Es facil de usar y tiene diversos tipos de movimientos que se pueden realizar a través de ella,
1,1,10,5,Por qué es ágil y segura,Ahí está bien
2,2,10,5,"Buen servicio, muy ágil",Por el momento nada
