segment,answerDate,NPS,impactInteraction,reason,improvement
1,2,2,1,"No funcionó,  la tarjeta no la leen los cajeros automáticos de Scotiabank,  pero si funciona en otros cajeros o en los comercios cuando compro algo, es imposible hablar con un asesor por teléfono,  su servicio deja mucho que desear.","Arreglar su sistema,  usar las opciones sin tarjeta son demasiado complicadas y aún siguiendo las instrucciones, no explican todos los pasos por favor revisar como optimizar esa operación"
1,3,1,3,Por que he tenido muchos pero muchos inconvenientes con ustedes,Ser más honestos con el cliente
1,1,2,1,Los códigos de seguridad solo llegan al celular. En caso de viaje al exterior no se reciben los msn,Voy a cambiar de banco
1,2,0,1,"Porque cada vez que quiero solucionar algo me toca hacer llamadas en vez de tener asistencia directa a través de la app y para cobrar seguros ""voluntarios"" están solos, de los peores bancos que pueden existir en Colombia y nada que ver con Scotiabank real",Cambien a su personal de servicio al cliente y hagan un sistema más eficiente
1,3,5,3,,
1,1,5,3,Muy caros los intereses de la tarjeta,Ninguna
1,2,1,1,Primero. No comprendo porque llevo casi 1 año recibiendo correos de su institución. Pues no tengo ni he tenido ningún producto con ustedes. Así que quisiera saber porque razón tienen mi correo personal asociado a una cuenta de su institución,Liberar mi correo para que no siga recibiendo datos de un producto que no poseo
2,3,6,4,Muy decepcionado porque tengo una tarjeta de crédito inactiva y ya debo 124.000 $ de intereses por un producto que no uso y que aparte está bloqueada.,"No cobren por productos que no están activos, tarjetas bloqueadas y los intereses siguen"
2,1,0,1,Me bloquearon el acceso y nadie me da respuesta.,Desbloquearme
2,2,0,1,No me ayudan en nada mi virtual o presencial,Que sirva
1,3,2,2,,
1,1,6,3,,
2,2,3,3,No tienen encuenta las sugerencias,
1,3,0,3,-,-
1,1,0,1,Porque tienen un mal servicio,Dejar de cobrar por todo
1,2,0,1,"Porque la opción de bloquear la tarjeta temporalmente no es para nada eficiente.
Bloquee y volví a desbloquear la tarjeta 3 veces y esta no me permitió volver a usarla para abolsutamente nada. 
A consecuencia de ello tuve que ir a una sede física en la cual tuve una experiencia de servicio horrible y adicional generar un cobro de 29.000 pesos por un plástico que no fue por ningún error mío, si no del banco.
No me
Encuentro muy contento con la aplicación en realidad","Mejor servicio al
Cliente y que la página del bloqueo temporalmente sea real"
1,3,4,3,Cierran cajeros y banca virtual,"Cajeros 24 horas , por qué servían a cobra mucho . Más cajeros , y banca virtual 24 horas"
1,1,2,1,No dieron solución y si perdí casi 50 min en espera,Mejorar
2,2,5,3,"Me bloquearon la cuenta y no es fácil el proceso de desbloqueo, estuve esperando respuesta mucho tiempo en la oficina de Pereira, resolví irme y continuo con la cuenta bloqueada. Recibí una llamada telefónica después de realizar unas transferencias, supuestamente del banco, me preguntaron datos relacionados con los movimientos y se supone que nada de eso debe suceder.",Mejor atención al usuario.
1,3,5,2,Por qué cada vez que viajo casi nunca encuentro un cajero y aquí en bogota también hay pocos cajeros,"Tratar de expandirse en otros lugares como san Andrés, Cartagena etc y aquí en bogota tambien hacen falta puntos de cajeros"
1,1,6,4,,
2,2,0,1,Intenté actívate en la app la tarjeta para retiro y aparece activo pero no le deja retirar dinero,Ayudarme urgente a activar efectivamente para poder retirar
1,3,0,2,,
1,1,6,3,es igual,
2,2,5,4,Es fácil de usar y se ajusta a mis necesidades,"El problema son las oficinas de Scotiabank, los colaboradores no son empaticos y hacer cualquier gestión toma mas tiempo, no es ágil y piden mas soportes"
2,3,6,5,ES práctica,
1,1,0,3,"Porque no recomendaría  Scotiabank?? Por muchas razones !! La primera subió muchísimo la cuota de la tarjeta de crédito. No hay servicio al cliente. Por muchísimas más la verdad estoy en una transición de scotiabank a davivienda 
Tengo la cuenta desde 1992 algo así no cada vez siento que no es mi banco.",.
1,2,4,4,Facilita la vida,Más cajeros
2,3,1,3,,Implementar mejores estrategias para adquisión de los productos y servicios del banco.
